SMILES,Adduct,True CCS
COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4=C(C=CC(=C4)C5=CC(=O)C6=C(C=C(C=C6O5)O)O)OC,[M-H]-,230.7757553
COC1=CC=C(C=C1)C=CC(=O)C2=C(C=C(C=C2OC)OC)O,[M+H]+,176.3584752
COC1=CC=C(C=C1)C=CC(=O)C2=C(C=C(C=C2OC)OC)O,[M-H]-,184.7481028
COC1=CC(=O)O[C@@H](CCc2ccccc2)C1,[M+H]+,149.1110735
COC1=CC(=C2C(=C1)OC(=CC2=O)C3=CC=C(C=C3)O)O,[M+H]+,163.5378153
COC1=CC(=C2C(=C1)OC(=CC2=O)C3=CC=C(C=C3)O)O,[M-H]-,166.1183534
COC1=C(C=CC(=C1)C=CC(=O)NCCC2=CC=C(C=C2)O)O,[M+H]+,181.2849848
COC1=C(C=CC(=C1)C=CC(=O)NCCC2=CC=C(C=C2)O)O,[M-H]-,176.3570681
COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O,[M+H]+,193.3330032
COC=1C=CC2=CC=3C4=CC5=C(C=C4CC[N+]3C=C2C1OC)OCO5,[M+H]+,175.8815152
COC=1C=CC2=C(C1)OC(C3=CC=CC=C3)=C(C2=O)OC,[M+H]+,160.7116698
COC=1C=CC(=CC1O)C2(CC(C3=C(C=C(C=C3O2)O)O)=O)[H],[M-H]-,178.4876287
COC=1C=C(C=CC1O)C=O,[M-H]-,124.3006709
COC=1C=2C=CC(=O)OC2C=3C=COC3C1OC,[M+H]+,146.4146304
COC(C(CC1=CC=CC=C1)(N=C(C(CC(=O)O)(N)[H])O)[H])=O,[M-H]-,166.7128885
COC(=O)C1=CO[C@H]([C@@H]2C(=CC[C@H]12)CO)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O,[M-H]-,184.5960367
COC(=O)/C=C/c1ccc(cc1)O,[M-H]-,139.4950636
COC(=NN=C(C=1C=N(C2=CC=CC=C2N1=O)=O)[H])O,[M+H]+,153.903645
CNCCC1=CC=CC=N1,[M+H]+,126.022238
CNC(=O)Oc1cccc2ccccc12,[M-H]-,144.3589602
CN1CCN(CC1)CC(N2C3=CC=CC=C3C(=NC=4C=CC=NC42)O)=O,[M+H]+,181.171831
